art_id	url	name	where	m_gender	a_gender	m_count	a_count	m_quotes	a_quotes
a001	https://www.nytimes.com/2017/03/06/us/politics/cambridge-analytica.html	Rebekah Mercer	manual_only	male						
a001	https://www.nytimes.com/2017/03/06/us/politics/cambridge-analytica.html	Charles G. Koch	manual_only	male						
a001	https://www.nytimes.com/2017/03/06/us/politics/cambridge-analytica.html	Robert Mercer	both	male	male	8	7	0	0	
a001	https://www.nytimes.com/2017/03/06/us/politics/cambridge-analytica.html	Alexander Nix	both	male	male	12	13	63	71	
a001	https://www.nytimes.com/2017/03/06/us/politics/cambridge-analytica.html	Brent Seaborn	both	male	male	1	1	35	73	
a001	https://www.nytimes.com/2017/03/06/us/politics/cambridge-analytica.html	Alexander Polonsky	both	male	male	1	1	26	0	
a001	https://www.nytimes.com/2017/03/06/us/politics/cambridge-analytica.html	Mark Laity	both	male	male	1	1	8	9	
a001	https://www.nytimes.com/2017/03/06/us/politics/cambridge-analytica.html	David Magerman	both	male	male	1	1	27	0	
a001	https://www.nytimes.com/2017/03/06/us/politics/cambridge-analytica.html	Rick Tyler	both	male	male	2	2	24	27	
a001	https://www.nytimes.com/2017/03/06/us/politics/cambridge-analytica.html	David H. Koch	both	male	male	1	1	0	0	
a001	https://www.nytimes.com/2017/03/06/us/politics/cambridge-analytica.html	Brad Parscale	both	male	male	1	1	0	0	
a001	https://www.nytimes.com/2017/03/06/us/politics/cambridge-analytica.html	Donald J. Trump	both	male	male	15	24	0	30	
a001	https://www.nytimes.com/2017/03/06/us/politics/cambridge-analytica.html	Matt Oczkowski	both	male	male	1	1	17	21	
a001	https://www.nytimes.com/2017/03/06/us/politics/cambridge-analytica.html	Alexander Tayler	both	male	male	3	3	27	34	
a001	https://www.nytimes.com/2017/03/06/us/politics/cambridge-analytica.html	Stephen K. Bannon	both	male	male	11	11	0	0	
a001	https://www.nytimes.com/2017/03/06/us/politics/cambridge-analytica.html	A Joint Chiefs spokesman (anonymous source)	manual_only	male						
a001	https://www.nytimes.com/2017/03/06/us/politics/cambridge-analytica.html	Ted Cruz	both	male	male	4	8	0	0	
a001	https://www.nytimes.com/2017/03/06/us/politics/cambridge-analytica.html	Rebekah	auto_only							
a001	https://www.nytimes.com/2017/03/06/us/politics/cambridge-analytica.html	Charles G.	auto_only							
a001	https://www.nytimes.com/2017/03/06/us/politics/cambridge-analytica.html	Breitbart	auto_only							
a001	https://www.nytimes.com/2017/03/06/us/politics/cambridge-analytica.html	Cambridge Analytica	auto_only							
a001	https://www.nytimes.com/2017/03/06/us/politics/cambridge-analytica.html	Bob	auto_only							
a001	https://www.nytimes.com/2017/03/06/us/politics/cambridge-analytica.html	Mercer	auto_only							
a002	https://www.nytimes.com/2017/03/06/us/politics/supreme-court-transgender-rights-case.html	Kerri Kupec	both	female	female	1	1	44	0	
a002	https://www.nytimes.com/2017/03/06/us/politics/supreme-court-transgender-rights-case.html	S. Kyle Duncan	manual_only	male						
a002	https://www.nytimes.com/2017/03/06/us/politics/supreme-court-transgender-rights-case.html	Trump	both	male	male	5	1	0	0	
a002	https://www.nytimes.com/2017/03/06/us/politics/supreme-court-transgender-rights-case.html	Joshua A. Block	manual_only	male						
a002	https://www.nytimes.com/2017/03/06/us/politics/supreme-court-transgender-rights-case.html	Sarah Warbelow	both	female	female	1	1	26	28	
a002	https://www.nytimes.com/2017/03/06/us/politics/supreme-court-transgender-rights-case.html	Gavin Grimm	both	male	male	8	1	0	0	
a002	https://www.nytimes.com/2017/03/06/us/politics/supreme-court-transgender-rights-case.html	Obama	manual_only	male						
a003	https://www.nytimes.com/2017/03/07/technology/blue-origin-jeff-bezoss-moon-shot-gets-first-paying-customer.html	Elon Musk	manual_only	male						
a003	https://www.nytimes.com/2017/03/07/technology/blue-origin-jeff-bezoss-moon-shot-gets-first-paying-customer.html	Jeff Bezos	both	male	male	11	11	48	56	
a003	https://www.nytimes.com/2017/03/07/technology/blue-origin-jeff-bezoss-moon-shot-gets-first-paying-customer.html	Henry Hertzfeld	both	male	male	1	1	25	30	
a003	https://www.nytimes.com/2017/03/07/technology/blue-origin-jeff-bezoss-moon-shot-gets-first-paying-customer.html	John Glenn	both	male	male	1	1	0	0	
a003	https://www.nytimes.com/2017/03/07/technology/blue-origin-jeff-bezoss-moon-shot-gets-first-paying-customer.html	Rodolphe Belmer	both	male	None	1	1	30	0	
a003	https://www.nytimes.com/2017/03/07/technology/blue-origin-jeff-bezoss-moon-shot-gets-first-paying-customer.html	Carissa Bryce Christensen	both	female	female	2	2	40	28	
a003	https://www.nytimes.com/2017/03/07/technology/blue-origin-jeff-bezoss-moon-shot-gets-first-paying-customer.html	Musk	auto_only							
a004	https://www.nytimes.com/2017/03/07/world/europe/wikileaks-cia-hacking.html	Dean Boyd	both	male	male	1	1	13	14	
a004	https://www.nytimes.com/2017/03/07/world/europe/wikileaks-cia-hacking.html	Edward J. Snowden	both	male	male	2	2	0	0	
a004	https://www.nytimes.com/2017/03/07/world/europe/wikileaks-cia-hacking.html	Beau Woods	both	male	male	1	1	41	14	
a004	https://www.nytimes.com/2017/03/07/world/europe/wikileaks-cia-hacking.html	Chelsea Manning	both	female	female	1	1	0	0	
a004	https://www.nytimes.com/2017/03/07/world/europe/wikileaks-cia-hacking.html	Ben Wizner	both	male	male	2	2	36	42	
a004	https://www.nytimes.com/2017/03/07/world/europe/wikileaks-cia-hacking.html	James Lewis	both	male	male	3	3	19	20	
a004	https://www.nytimes.com/2017/03/07/world/europe/wikileaks-cia-hacking.html	Robert M. Chesney	both	male	male	2	2	29	35	
a004	https://www.nytimes.com/2017/03/07/world/europe/wikileaks-cia-hacking.html	Python	auto_only							
a004	https://www.nytimes.com/2017/03/07/world/europe/wikileaks-cia-hacking.html	WikiLeaks	auto_only							
a005	https://www.nytimes.com/2017/03/07/business/caterpillar-tax-fraud.html	Trump	both	male	male	1	1	0	0	
a005	https://www.nytimes.com/2017/03/07/business/caterpillar-tax-fraud.html	Corrie Heck Scott	both	female	female	1	1	0	0	
a005	https://www.nytimes.com/2017/03/07/business/caterpillar-tax-fraud.html	Caroline Nolan	both	female	female	1	1	9	0	
a005	https://www.nytimes.com/2017/03/07/business/caterpillar-tax-fraud.html	Leslie A. Robinson	both	female	female	8	9	69	33	
a006	https://www.nytimes.com/2017/03/06/science/donald-trump-data-rescue-science.html	Maxwell Ogden	both	male	male	4	4	40	0	
a006	https://www.nytimes.com/2017/03/06/science/donald-trump-data-rescue-science.html	Laurie Allen	both	female	female	1	1	40	44	
a006	https://www.nytimes.com/2017/03/06/science/donald-trump-data-rescue-science.html	James R. Jacobs	both	male	male	1	1	31	0	
a006	https://www.nytimes.com/2017/03/06/science/donald-trump-data-rescue-science.html	Patrice McDermott	both	female	female	2	2	18	20	
a006	https://www.nytimes.com/2017/03/06/science/donald-trump-data-rescue-science.html	Barbara Thiers	both	female	female	1	1	23	26	
a006	https://www.nytimes.com/2017/03/06/science/donald-trump-data-rescue-science.html	Anne Jefferson	both	female	female	1	1	22	24	
a006	https://www.nytimes.com/2017/03/06/science/donald-trump-data-rescue-science.html	Andrew Bergman	both	male	male	2	2	34	40	
a006	https://www.nytimes.com/2017/03/06/science/donald-trump-data-rescue-science.html	James A. Jacobs	both	male	male	1	1	31	0	
a006	https://www.nytimes.com/2017/03/06/science/donald-trump-data-rescue-science.html	Sam Hodgson	auto_only							
a006	https://www.nytimes.com/2017/03/06/science/donald-trump-data-rescue-science.html	Obama	auto_only							
a007	https://www.nytimes.com/2017/03/07/fashion/paris-fashion-week-chanel-alexander-mcqueen.html	Sarah Burton	both	female	female	1	1	0	0	
a007	https://www.nytimes.com/2017/03/07/fashion/paris-fashion-week-chanel-alexander-mcqueen.html	Cara Delevingne	both	female	female	1	1	0	0	
a007	https://www.nytimes.com/2017/03/07/fashion/paris-fashion-week-chanel-alexander-mcqueen.html	Alexander McQueen	both	male	male	1	1	0	0	
a007	https://www.nytimes.com/2017/03/07/fashion/paris-fashion-week-chanel-alexander-mcqueen.html	Nicki Minaj	both	female	female	1	1	0	0	
a007	https://www.nytimes.com/2017/03/07/fashion/paris-fashion-week-chanel-alexander-mcqueen.html	Karl Lagerfeld	both	male	male	1	1	0	0	
a007	https://www.nytimes.com/2017/03/07/fashion/paris-fashion-week-chanel-alexander-mcqueen.html	Nadège Vanhee-Cybulski	manual_only	female						
a007	https://www.nytimes.com/2017/03/07/fashion/paris-fashion-week-chanel-alexander-mcqueen.html	Rihanna	both	female	None	1	1	0	0	
a007	https://www.nytimes.com/2017/03/07/fashion/paris-fashion-week-chanel-alexander-mcqueen.html	Kendall Jenner	manual_only	female						
a007	https://www.nytimes.com/2017/03/07/fashion/paris-fashion-week-chanel-alexander-mcqueen.html	Gigi Hadid	manual_only	female						
a007	https://www.nytimes.com/2017/03/07/fashion/paris-fashion-week-chanel-alexander-mcqueen.html	Kim Kardashian	manual_only	female						
a007	https://www.nytimes.com/2017/03/07/fashion/paris-fashion-week-chanel-alexander-mcqueen.html	Riccardo Tisci	both	male	None	1	1	0	0	
a007	https://www.nytimes.com/2017/03/07/fashion/paris-fashion-week-chanel-alexander-mcqueen.html	Haider Ackermann	both	male	None	1	1	0	0	
a007	https://www.nytimes.com/2017/03/07/fashion/paris-fashion-week-chanel-alexander-mcqueen.html	Nick Jonas	both	male	male	1	1	0	0	
a007	https://www.nytimes.com/2017/03/07/fashion/paris-fashion-week-chanel-alexander-mcqueen.html	Joe Jonas	manual_only	male						
a007	https://www.nytimes.com/2017/03/07/fashion/paris-fashion-week-chanel-alexander-mcqueen.html	Nadge Vanhee-Cybulski	auto_only							
a007	https://www.nytimes.com/2017/03/07/fashion/paris-fashion-week-chanel-alexander-mcqueen.html	Giambattista Valli	auto_only							
a007	https://www.nytimes.com/2017/03/07/fashion/paris-fashion-week-chanel-alexander-mcqueen.html	Fenty	auto_only							
a007	https://www.nytimes.com/2017/03/07/fashion/paris-fashion-week-chanel-alexander-mcqueen.html	Joe	auto_only							
a007	https://www.nytimes.com/2017/03/07/fashion/paris-fashion-week-chanel-alexander-mcqueen.html	Kim	auto_only							
a007	https://www.nytimes.com/2017/03/07/fashion/paris-fashion-week-chanel-alexander-mcqueen.html	Kendall Jenner/Gigi Hadid	auto_only							
a008	https://www.nytimes.com/2017/03/07/sports/rugby-swing-low-sweet-chariot.html	James W. Cook	both	male	male	1	1	31	35	
a008	https://www.nytimes.com/2017/03/07/sports/rugby-swing-low-sweet-chariot.html	John Williams	manual_only	male						
a008	https://www.nytimes.com/2017/03/07/sports/rugby-swing-low-sweet-chariot.html	Richard Woodley	both	male	male	1	1	21	23	
a008	https://www.nytimes.com/2017/03/07/sports/rugby-swing-low-sweet-chariot.html	Arsene Wenger	manual_only	male						
