art_id	url	name	where	m_gender	a_gender	m_count	a_count	m_quotes	a_quotes
a001	https://www.nytimes.com/2017/03/06/us/politics/cambridge-analytica.html	Rebekah Mercer	manual_only							
a001	https://www.nytimes.com/2017/03/06/us/politics/cambridge-analytica.html	Charles G. Koch	manual_only							
a001	https://www.nytimes.com/2017/03/06/us/politics/cambridge-analytica.html	Robert Mercer	both	male	female	8	9	0	0	
a001	https://www.nytimes.com/2017/03/06/us/politics/cambridge-analytica.html	Alexander Nix	both	male	male	12	15	63	86	
a001	https://www.nytimes.com/2017/03/06/us/politics/cambridge-analytica.html	Brent Seaborn	both	male	male	1	1	35	73	
a001	https://www.nytimes.com/2017/03/06/us/politics/cambridge-analytica.html	Alexander Polonsky	manual_only							
a001	https://www.nytimes.com/2017/03/06/us/politics/cambridge-analytica.html	Mark Laity	both	male	male	1	1	8	9	
a001	https://www.nytimes.com/2017/03/06/us/politics/cambridge-analytica.html	David Magerman	manual_only							
a001	https://www.nytimes.com/2017/03/06/us/politics/cambridge-analytica.html	Rick Tyler	both	male	male	2	2	24	27	
a001	https://www.nytimes.com/2017/03/06/us/politics/cambridge-analytica.html	David H. Koch	both	male	male	1	2	0	59	
a001	https://www.nytimes.com/2017/03/06/us/politics/cambridge-analytica.html	Brad Parscale	both	male	male	1	1	0	0	
a001	https://www.nytimes.com/2017/03/06/us/politics/cambridge-analytica.html	Donald J. Trump	both	male	male	15	24	0	0	
a001	https://www.nytimes.com/2017/03/06/us/politics/cambridge-analytica.html	Matt Oczkowski	both	male	male	1	1	17	21	
a001	https://www.nytimes.com/2017/03/06/us/politics/cambridge-analytica.html	Alexander Tayler	manual_only							
a001	https://www.nytimes.com/2017/03/06/us/politics/cambridge-analytica.html	Stephen K. Bannon	both	male	male	11	11	0	0	
a001	https://www.nytimes.com/2017/03/06/us/politics/cambridge-analytica.html	A Joint Chiefs spokesman (anonymous source)	manual_only							
a001	https://www.nytimes.com/2017/03/06/us/politics/cambridge-analytica.html	Ted Cruz	both	male	male	4	8	0	0	
a001	https://www.nytimes.com/2017/03/06/us/politics/cambridge-analytica.html	Rebekah	auto_only							
a001	https://www.nytimes.com/2017/03/06/us/politics/cambridge-analytica.html	Tayler	auto_only							
a001	https://www.nytimes.com/2017/03/06/us/politics/cambridge-analytica.html	Bob	auto_only							
a001	https://www.nytimes.com/2017/03/06/us/politics/cambridge-analytica.html	Charles G.	auto_only							
a002	https://www.nytimes.com/2017/03/06/us/politics/supreme-court-transgender-rights-case.html	Kerri Kupec	both	female	female	1	1	44	0	
a002	https://www.nytimes.com/2017/03/06/us/politics/supreme-court-transgender-rights-case.html	S. Kyle Duncan	manual_only							
a002	https://www.nytimes.com/2017/03/06/us/politics/supreme-court-transgender-rights-case.html	Trump	both	male	male	5	1	0	0	
a002	https://www.nytimes.com/2017/03/06/us/politics/supreme-court-transgender-rights-case.html	Joshua A. Block	manual_only							
a002	https://www.nytimes.com/2017/03/06/us/politics/supreme-court-transgender-rights-case.html	Sarah Warbelow	both	female	female	1	1	26	28	
a002	https://www.nytimes.com/2017/03/06/us/politics/supreme-court-transgender-rights-case.html	Gavin Grimm	both	male	male	8	1	0	0	
a002	https://www.nytimes.com/2017/03/06/us/politics/supreme-court-transgender-rights-case.html	Obama	manual_only							
a003	https://www.nytimes.com/2017/03/07/technology/blue-origin-jeff-bezoss-moon-shot-gets-first-paying-customer.html	Elon Musk	manual_only							
a003	https://www.nytimes.com/2017/03/07/technology/blue-origin-jeff-bezoss-moon-shot-gets-first-paying-customer.html	Jeff Bezos	manual_only							
a003	https://www.nytimes.com/2017/03/07/technology/blue-origin-jeff-bezoss-moon-shot-gets-first-paying-customer.html	Henry Hertzfeld	both	male	male	1	1	25	30	
a003	https://www.nytimes.com/2017/03/07/technology/blue-origin-jeff-bezoss-moon-shot-gets-first-paying-customer.html	John Glenn	both	male	male	1	1	0	0	
