Matthew Panzarino 	 Editor	"65,972 Tweets"	"2,228 Following"	"25,887 Followers"	"23,458 Likes"	21-01-2009 14:29
Matt Burns 	 Senior Editor 	"5,786 Tweets"	832 Following	"12,976 Followers"	"1,445 Likes"	06-11-2008 16:34
Angela Medina 	 Product Designer 	5 Tweets	248 Following	74 Followers	12 Likes	05-09-2012 08:07
Anthony Ha 	 Senior Writer 	"17,471 Tweets"	566 Following	"32,457 Followers"	"5,651 Likes"	31-03-2008 13:18
Catherine Shu 	 Writer 	"5,294 Tweets"	945 Following	"8,243 Followers"	"1,729 Likes"	10-07-2007 19:13
Connie Loizos 	 Silicon Valley Editor 	"2,817 Tweets"	823 Following	"5,508 Followers"	"1,931 Likes"	27-09-2006 16:21
Devin Coldewey 	 Writer & Photographer 	"122,966 Tweets"	794 Following	"6,492,981 Followers"	"1,134 Likes"	06-03-2007 17:27
Felicia Williams 	" Producer, TechCrunch TV "	"3,414 Tweets"	653 Following	"4,675 Followers"	"1,620 Likes"	21-03-2007 14:11
Frederic Lardinois 	 Writer 	"12,415 Tweets"	"3,796 Following"	"18,883 Followers"	"1,946 Likes"	24-03-2007 13:46
Greg Kumparak 	" Editor, Mobile Coverage "	"7,843 Tweets"	433 Following	"15,794 Followers"	"1,087 Likes"	03-03-2008 12:47
Haje Jan Kamps 	 Contributor 	"1,352 Tweets"	567 Following	"2,414 Followers"	"11,979 Likes"	14-12-2006 16:04
Henry Pickavet 	 Editorial Director 	"2,838 Tweets"	875 Following	"1,709 Followers"	915 Likes	19-05-2008 18:38
Ingrid Lunden 	 Writer 	"16,746 Tweets"	"1,462 Following"	"22,110 Followers"	"1,755 Likes"	23-02-2009 07:55
Jay Donovan 	 Writer 	"4,319 Tweets"	"1,324 Following"	"2,477 Followers"	210 Likes	19-11-2007 19:52
Joey Hinson 	 TechCrunch Staff	876 Tweets	422 Following	931 Followers	288 Likes	28-01-2010 12:10
John Biggs 	 East Coast Editor 	"46,035 Tweets"	"10,397 Following"	"33,467 Followers"	459 Likes	22-02-2007 06:21
Jon Evans 	 TechCrunch Staff	"19,888 Tweets"	365 Following	"6,218 Followers"	161 Likes	24-03-2008 11:47
Jon Russell 	 Writer 	"68,302 Tweets"	"1,212 Following"	"20,003 Followers"	"21,722 Likes"	18-05-2007 01:52
Jonathan Shieber 	 Writer 	"11,070 Tweets"	"3,035 Following"	"7,171 Followers"	"3,342 Likes"	12-04-2009 19:19
Jordan Crook 	 Writer 	"12,365 Tweets"	857 Following	"16,781 Followers"	"5,280 Likes"	10-05-2011 08:57
Josh Constine 	 Editor	"22,720 Tweets"	"1,622 Following"	"39,270 Followers"	"28,124 Likes"	26-01-2009 14:41
Katie Roof 	 Senior Writer/Video Host 	"13,153 Tweets"	"2,289 Following"	"10,461 Followers"	"13,861 Likes"	30-01-2010 14:00
Kim	Mai Cutler 	"13,047 Tweets"	"4,788 Following"	"23,418 Followers"	"20,743 Likes"	12-04-2008 00:52
Leslie Hitchcock 	 Event Partnerships Manager 	"9,841 Tweets"	191 Following	"2,589 Followers"	"3,497 Likes"	24-08-2009 14:26
Lora Kolodny 	" Emerging Tech Editor, Video Host "	"23,378 Tweets"	"11,777 Following"	"15,131 Followers"	"5,080 Likes"	27-03-2009 10:05
Matthew Lynley 	 Reporter 	"36,866 Tweets"	876 Following	"11,025 Followers"	"5,496 Likes"	05-02-2008 22:55
Megan Rose Dickey 	 Reporter 	"6,006 Tweets"	"1,757 Following"	"5,857 Followers"	"1,939 Likes"	02-04-2009 11:09
Mike Butcher 	 Editor At Large 	"51,059 Tweets"	"11,248 Following"	"121,805 Followers"	"9,120 Likes"	21-11-2006 13:59
Natasha Lomas 	 Writer 	"25,113 Tweets"	"1,635 Following"	"13,673 Followers"	"2,008 Likes"	05-08-2008 02:02
Ned Desmond 	 COO 	"5,601 Tweets"	410 Following	"1,477 Followers"	221 Likes	27-05-2008 19:37
Nicolas Vincent 	 Senior Software Engineer 	"1,019 Tweets"	823 Following	830 Followers	52 Likes	23-10-2008 17:20
Nicole Wilke 	 Head of Product 	"1,896 Tweets"	409 Following	"1,669 Followers"	200 Likes	29-04-2008 12:03
Romain Dillet 	 Writer 	"4,708 Tweets"	618 Following	"8,258 Followers"	960 Likes	17-01-2008 13:01
Ron Miller 	 Enterprise Reporter 	"56,721 Tweets"	"3,244 Following"	"10,936 Followers"	"1,953 Likes"	08-05-2007 12:44
Sam O'Keefe 	" Editor, Startup Battlefield "	"1,749 Tweets"	573 Following	"2,426 Followers"	17 Likes	06-10-2008 11:39
Sarah Buhr 	 Reporter 	"16,193 Tweets"	"1,778 Following"	"15,468 Followers"	"6,637 Likes"	26-06-2008 11:24
Sarah Perez 	 Writer 	"22,702 Tweets"	"6,349 Following"	"49,004 Followers"	"2,660 Likes"	22-01-2007 15:06
Signe Brewster 	 Contributor 	"6,067 Tweets"	"1,827 Following"	"4,063 Followers"	"1,993 Likes"	15-04-2008 21:21
Steve Gillmor 	 Contributing Editor 	"9,135 Tweets"	653 Following	"17,196 Followers"	42 Likes	18-03-2007 17:08
Steve O'Hear 	 Writer 	"29,340 Tweets"	"1,068 Following"	"13,281 Followers"	"2,350 Likes"	08-04-2007 08:55
Tito Hamze 	 Shooter/Editor 	412 Tweets	318 Following	710 Followers	208 Likes	10-09-2013 23:04
Travis Bernard 	 Director of Audience Development 	"13,275 Tweets"	748 Following	"3,068 Followers"	"7,355 Likes"	13-08-2009 13:10
Yashad Kulkarni 	 Video Producer 	812 Tweets	527 Following	773 Followers	704 Likes	17-03-2010 00:46
